TABLE SpaceFunctionData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FuncType,OccDens,OccVentFrac,OccSensHtRt,OccLatHtRt,RecptPwrDens,HotWtrHtgRt,IntLPDReg,CodeVentPerArea,CodeTotalVentPerArea,ClgUMLHLimit,HtgUMLHLimit,GasEqpPwrDens,CommRfrgEPD,IllumSetptMin,IllumSetptMax,IllumSetptAdjFacPri,IllumSetptAdjFacSec,FuncSchGrp,OccSchRef,RecptSchRef,HotWtrHtgSchRef,IntLtgRegSchRef,GasEqpSchRef,CommRfrgEqpSchRef,InfSchRef,AvailSchRef,HtgTstatSchRef,ClgTstatSchRef,ElevSchRef,EscalSchRef,WtrHtrTempSetptSchRef,SpcFuncIdx,; 
,//SpaceBySpace,# per 1000 ft,,Btu / occupant,Btu / occupant,Load W/ft,Gal/h per person,W/ft,CFM/ft,CFM/ft,Hrs,Hrs,Btu/h-ft2,W/ft2,lux,lux,,,,Occupancy Schedule,Receptacle Schedule,Hot Water Schedule,Regulated Lighting Schedule,Gas Equipment Schedule,Refrigeration Schedule,Infiltration Schedule,Availability Sched,Heating Setpoint Schedule (F),Cooling Setpoint Schedule (F),Elevator Schedule,Escalator Schedule,Water Heater Temperature Setpoint Schedule,,; 
,Auditorium Area,142.86,0.5,245,105,1,0.09,1.5,0.15,1.071428571,150,150,0,0,50,1000,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,101,; 
,Auto Repair Area,10,0.5,275,475,1,0.18,0.9,1.5,1.5,150,150,0.75064,0,200,1500,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,102,; 
,"Bar, Cocktail Lounge and Casino Areas",66.67,0.5,275,275,1,0.18,1.1,0.2,0.5,150,150,0,1.12,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,103,; 
,Beauty Salon Area,10,0.5,250,200,2,0.18,1.7,0.4,0.4,150,150,0,0,500,500,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,104,; 
,"Classrooms, Lecture, Training, Vocational Areas",50,0.5,245,155,1,0.18,1.2,0.15,0.375,150,150,0,0,50,500,1.5,2,School,SchoolOccupancy,SchoolReceptacle,SchoolServiceHotWater,SchoolLights,SchoolGasEquip,SchoolRefrigeration,SchoolInfiltration,SchoolHVACAvail,SchoolHtgSetpt,SchoolClgSetpt,SchoolElevator,SchoolEscalator,SchoolWtrHtrSetpt,105,; 
,Civic Meeting Place Area,66.67,0.5,250,200,1.5,0.18,1.3,0.15,0.5,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,106,; 
,Commercial and Industrial Storage Areas (conditioned or unconditioned),2,0.5,275,475,0.2,0.18,0.6,0.15,0.15,8760,8760,0,0,50,300,1.5,2,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,107,; 
,Commercial and Industrial Storage Areas (refrigerated),0,0.5,275,475,0.2,0.18,0.7,0.15,0.15,8760,8760,0,10,50,300,1.5,2,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,108,; 
,Computer Room,3,0.5,275,475,20,0.18,0.8,0.15,0.15,150,150,0,0,75,300,1,4,Data,DataOccupancy,DataReceptacle,DataServiceHotWater,DataLights,DataGasEquip,DataRefrigeration,DataInfiltration,DataHVACAvail,DataHtgSetpt,DataClgSetpt,DataElevator,DataEscalator,DataWtrHtrSetpt,109,; 
,"Convention, Conference, Multipurpose and Meeting Center Areas",66.67,0.5,245,155,1,0.09,1.4,0.15,0.5,150,150,0,0,30,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,110,; 
,"Corridors, Restrooms, Stairs, and Support Areas",10,0.5,250,250,0.2,0,0.6,0.15,0.15,8760,8760,0,0,50,100,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,111,; 
,Dining Area,66.67,0.5,275,275,0.5,0.578,1.1,0.15,0.5,150,150,0,0,50,200,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,112,; 
,Dry Cleaning (Coin Operated),10,0.5,250,250,3,0.18,0.9,0.3,0.3,150,150,0.75064,0,300,300,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,113,; 
,Dry Cleaning (Full Service Commercial),10,0.5,250,250,3,0.18,0.9,0.45,0.45,150,150,0.75064,0,300,300,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,114,; 
,"Electrical, Mechanical, Telephone Rooms",3,0.5,250,250,3,0.18,0.7,0.15,0.15,8760,8760,0,0,200,200,1,4,Warehouse,WarehouseOccupancy,WarehouseReceptacle,WarehouseServiceHotWater,WarehouseLights,WarehouseGasEquip,WarehouseRefrigeration,WarehouseInfiltration,WarehouseHVACAvail,WarehouseHtgSetpt,WarehouseClgSetpt,WarehouseElevator,WarehouseEscalator,WarehouseWtrHtrSetpt,115,; 
,Exercise Room,20,0.5,255,875,0.5,0.18,1,0.15,0.15,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,116,; 
,"Exhibit, Museum Areas",66.67,0.5,250,250,1.5,0.09,2,0.15,0.5,150,150,0,0,150,500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,117,; 
,Financial Transaction Area,10,0.5,250,250,1.5,0.18,1.2,0.15,0.15,150,150,0,0,100,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,118,; 
,"General Commercial and Industrial Work Areas, High Bay",10,0.5,275,475,1,0.18,1,0.15,0.15,150,150,0,0,300,1000,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,119,; 
,"General Commercial and Industrial Work Areas, Low Bay",10,0.5,275,475,1,0.18,0.9,0.15,0.15,150,150,0,0,300,1000,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,120,; 
,"General Commercial and Industrial Work Areas, Precision",10,0.5,250,200,1,0.18,1.2,0.15,0.15,150,150,0,0,1000,3000,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,121,; 
,Grocery Sales Areas,33.33,0.5,250,200,1,0.18,1.2,0.15,0.25,150,150,1.1942,2.6,500,500,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,122,; 
,Gymnasium/Sports Arena,66.67,0.5,255,875,0.5,0.18,1,0.15,0.5,150,150,0,0,150,400,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,201,; 
,High-Rise Residential Living Spaces,5,0.5,245,155,0.5,0,0.5,0.06,0,150,150,0.6824,0,20,200,1.5,2,ResidentialLiving,ResidentialLivingOccupancy,ResidentialLivingReceptacle,ResidentialLivingServiceHotWater,ResidentialLivingLights,ResidentialLivingGasEquip,ResidentialLivingRefrigeration,ResidentialLivingInfiltration,ResidentialLivingHVACAvail,ResidentialLivingHtgSetpt,ResidentialLivingClgSetpt,ResidentialLivingElevator,ResidentialLivingEscalator,ResidentialLivingWtrHtrSetpt,123,; 
,Hotel Function Area,142.86,0.5,250,200,0.5,0.096,1.5,0.15,1.071428571,150,150,0,0,50,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,124,; 
,Hotel/Motel Guest Room,5,0.5,245,155,0.5,4.48,0.5,0.06,0,150,150,0,0,20,200,1.5,2,ResidentialLiving,ResidentialLivingOccupancy,ResidentialLivingReceptacle,ResidentialLivingServiceHotWater,ResidentialLivingLights,ResidentialLivingGasEquip,ResidentialLivingRefrigeration,ResidentialLivingInfiltration,ResidentialLivingHVACAvail,ResidentialLivingHtgSetpt,ResidentialLivingClgSetpt,ResidentialLivingElevator,ResidentialLivingEscalator,ResidentialLivingWtrHtrSetpt,125,; 
,"Housing, Public and Common Areas: Multi-family, Dormitory",20,0.5,250,250,0.5,0.192,1,0.15,0.15,150,150,0,0,200,500,1.5,2,ResidentialCommon,ResidentialCommonOccupancy,ResidentialCommonReceptacle,ResidentialCommonServiceHotWater,ResidentialCommonLights,ResidentialCommonGasEquip,ResidentialCommonRefrigeration,ResidentialCommonInfiltration,ResidentialCommonHVACAvail,ResidentialCommonHtgSetpt,ResidentialCommonClgSetpt,ResidentialCommonElevator,ResidentialCommonEscalator,ResidentialCommonWtrHtrSetpt,126,; 
,"Housing, Public and Common Areas: Senior Housing",10,0.5,250,250,0.5,0.192,1.5,0.15,0.15,150,150,0,0,400,1000,1.5,2,ResidentialCommon,ResidentialCommonOccupancy,ResidentialCommonReceptacle,ResidentialCommonServiceHotWater,ResidentialCommonLights,ResidentialCommonGasEquip,ResidentialCommonRefrigeration,ResidentialCommonInfiltration,ResidentialCommonHVACAvail,ResidentialCommonHtgSetpt,ResidentialCommonClgSetpt,ResidentialCommonElevator,ResidentialCommonEscalator,ResidentialCommonWtrHtrSetpt,127,; 
,"Kitchen, Commercial Food Preparation",5,0.5,275,475,1.5,0.578,1.6,0.15,0.15,150,150,17.53768,1.12,100,500,1.5,2,Restaurant,RestaurantOccupancy,RestaurantReceptacle,RestaurantServiceHotWater,RestaurantLights,RestaurantGasEquip,RestaurantRefrigeration,RestaurantInfiltration,RestaurantHVACAvail,RestaurantHtgSetpt,RestaurantClgSetpt,RestaurantElevator,RestaurantEscalator,RestaurantWtrHtrSetpt,128,; 
,Kitchenette or Residential Kitchen,5,0.5,275,475,1,0.36,1.6,0.15,0.15,150,150,3,0.5,100,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,129,; 
,"Laboratory, Scientific",10,0.5,250,200,2,0.18,1.4,0.15,0,150,150,12.69264,0.28,500,1000,1.5,2,Laboratory,LabOccupancy,LabReceptacle,LabServiceHotWater,LabLights,LabGasEquip,LabRefrigeration,LabInfiltration,LabHVACAvail,LabHtgSetpt,LabClgSetpt,LabElevator,LabEscalator,LabWtrHtrSetpt,130,; 
,"Laboratory, Equipment Room",5,0.5,250,200,10,0.18,1.4,0.15,0,150,150,12.69264,0,500,1000,1.5,2,Laboratory,LabOccupancy,LabReceptacle,LabServiceHotWater,LabLights,LabGasEquip,LabRefrigeration,LabInfiltration,LabHVACAvail,LabHtgSetpt,LabClgSetpt,LabElevator,LabEscalator,LabWtrHtrSetpt,131,; 
,Laundry,10,0.5,250,250,3,0.578,0.9,0.15,0.15,8760,8760,0.75064,0,100,300,1.5,2,Manufacturing,ManufacturingOccupancy,ManufacturingReceptacle,ManufacturingServiceHotWater,ManufacturingLights,ManufacturingGasEquip,ManufacturingRefrigeration,ManufacturingInfiltration,ManufacturingHVACAvail,ManufacturingHtgSetpt,ManufacturingClgSetpt,ManufacturingElevator,ManufacturingEscalator,ManufacturingWtrHtrSetpt,132,; 
,"Library, Reading Areas",20,0.5,250,200,1.5,0.18,1.2,0.15,0.15,150,150,0,0,150,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,133,; 
,"Library, Stacks",10,0.5,250,200,1.5,0.18,1.5,0.15,0.15,150,150,0,0,200,300,1,4,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,134,; 
,"Lobby, Hotel",10,0.5,250,250,0.5,0.18,1.1,0.15,0.15,150,150,0,0,50,200,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,135,; 
,"Lobby, Main Entry",66.67,0.5,250,250,0.5,0.09,1.5,0.15,0.5,150,150,0,0,50,200,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,136,; 
,Locker/Dressing Room,20,0.5,255,475,0.5,0.578,0.8,0.15,0.15,8760,8760,0,0,20,200,1,4,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,137,; 
,"Lounge, Recreation",66.67,0.5,275,275,1,0.09,1.1,0.15,0.5,150,150,0,0,40,300,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,138,; 
,Malls and Atria,33.33,0.5,250,250,0.5,0.18,1.2,0.15,0.25,150,150,0,0,100,300,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,139,; 
,Medical and Clinical Care,10,0.5,250,200,1.5,0.24,1.2,0.15,0.15,150,150,1.12596,0,300,3000,1.5,2,Health,HealthOccupancy,HealthReceptacle,HealthServiceHotWater,HealthLights,HealthGasEquip,HealthRefrigeration,HealthInfiltration,HealthHVACAvail,HealthHtgSetpt,HealthClgSetpt,HealthElevator,HealthEscalator,HealthWtrHtrSetpt,140,; 
,Nurseries for Children - Day Care,28.57,0.5,245,155,1,0.24,1.2,0.15,0.214275,150,150,0,0,50,500,1.5,2,School,SchoolOccupancy,SchoolReceptacle,SchoolServiceHotWater,SchoolLights,SchoolGasEquip,SchoolRefrigeration,SchoolInfiltration,SchoolHVACAvail,SchoolHtgSetpt,SchoolClgSetpt,SchoolElevator,SchoolEscalator,SchoolWtrHtrSetpt,202,; 
,Office (Greater than 250 square feet in floor area),10,0.5,250,200,1.5,0.18,0.75,0.15,0.15,150,150,0,0,75,500,1,4,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,141,; 
,Office (250 square feet in floor area or less),10,0.5,250,200,1.5,0.18,1,0.15,0.15,150,150,0,0,75,500,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,142,; 
,"Parking Garage Building, Parking Area",5,0.5,250,200,0,0,0.14,0.75,0.75,8760,8760,0,0,10,40,1.5,2,Parking,ParkingOccupancy,ParkingReceptacle,ParkingServiceHotWater,ParkingLights,ParkingGasEquip,ParkingRefrigeration,ParkingInfiltration,ParkingHVACAvail,ParkingHtgSetpt,ParkingClgSetpt,ParkingElevator,ParkingEscalator,ParkingWtrHtrSetpt,143,; 
,Parking Garage Area Dedicated Ramps,5,0.5,250,200,0,0,0.3,0.75,0.75,8760,8760,0,0,10,40,1.5,2,Parking,ParkingOccupancy,ParkingReceptacle,ParkingServiceHotWater,ParkingLights,ParkingGasEquip,ParkingRefrigeration,ParkingInfiltration,ParkingHVACAvail,ParkingHtgSetpt,ParkingClgSetpt,ParkingElevator,ParkingEscalator,ParkingWtrHtrSetpt,144,; 
,Parking Garage Area Daylight Adaptation Zones,5,0.5,250,200,0,0,0.6,0.75,0.75,8760,8760,0,0,10,40,1.5,2,Parking,ParkingOccupancy,ParkingReceptacle,ParkingServiceHotWater,ParkingLights,ParkingGasEquip,ParkingRefrigeration,ParkingInfiltration,ParkingHVACAvail,ParkingHtgSetpt,ParkingClgSetpt,ParkingElevator,ParkingEscalator,ParkingWtrHtrSetpt,145,; 
,Police Station and Fire Station,10,0.5,250,200,1.5,0.18,0.9,0.15,0.15,150,150,0,0,50,300,1.5,2,ResidentialCommon,ResidentialCommonOccupancy,ResidentialCommonReceptacle,ResidentialCommonServiceHotWater,ResidentialCommonLights,ResidentialCommonGasEquip,ResidentialCommonRefrigeration,ResidentialCommonInfiltration,ResidentialCommonHVACAvail,ResidentialCommonHtgSetpt,ResidentialCommonClgSetpt,ResidentialCommonElevator,ResidentialCommonEscalator,ResidentialCommonWtrHtrSetpt,146,; 
,Religious Worship Area,142.86,0.5,245,105,0.5,0.09,1.5,0.15,1.071428571,150,150,0,0,200,1500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,147,; 
,"Retail Merchandise Sales, Wholesale Showroom",33.33,0.5,250,200,1,0.18,1.2,0.2,0.25,150,150,0,0,100,1000,1.5,2,Retail,RetailOccupancy,RetailReceptacle,RetailServiceHotWater,RetailLights,RetailGasEquip,RetailRefrigeration,RetailInfiltration,RetailHVACAvail,RetailHtgSetpt,RetailClgSetpt,RetailElevator,RetailEscalator,RetailWtrHtrSetpt,148,; 
,"Theater, Motion Picture",142.86,0.5,245,105,0.5,0.09,0.9,0.15,1.071428571,150,150,0,0,2,50,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,150,; 
,"Theater, Performance",142.86,0.5,245,105,0.5,0.09,1.4,0.15,1.071428571,150,150,0,0,2,200,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,151,; 
,Transportation Function,33.33,0.5,250,250,0.5,0.18,1.2,0.15,0.25,150,150,0,0,50,500,1.5,2,Assembly,AssemblyOccupancy,AssemblyReceptacle,AssemblyServiceHotWater,AssemblyLights,AssemblyGasEquip,AssemblyRefrigeration,AssemblyInfiltration,AssemblyHVACAvail,AssemblyHtgSetpt,AssemblyClgSetpt,AssemblyElevator,AssemblyEscalator,AssemblyWtrHtrSetpt,152,; 
,Unleased Tenant Area,10,0.5,250,200,1.5,0.18,0.6,0.15,0.15,150,150,0,0,75,500,1,4,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,203,; 
,Unoccupied-Exclude from Gross Floor Area,0,0.5,250,250,0,0,0,0,0,8760,8760,0,0,0,0,0,0,Unoccupied,UnoccupiedOccupancy,UnoccupiedReceptacle,UnoccupiedServiceHotWater,UnoccupiedLights,UnoccupiedGasEquip,UnoccupiedRefrigeration,UnoccupiedInfiltration,UnoccupiedHVACAvail,UnoccupiedHtgSetpt,UnoccupiedClgSetpt,UnoccupiedElevator,UnoccupiedEscalator,UnoccupiedWtrHtrSetpt,99,; 
,Unoccupied-Include in Gross Floor Area,0,0.5,250,250,0,0,0,0,0,8760,8760,0,0,0,0,0,0,Unoccupied,UnoccupiedOccupancy,UnoccupiedReceptacle,UnoccupiedServiceHotWater,UnoccupiedLights,UnoccupiedGasEquip,UnoccupiedRefrigeration,UnoccupiedInfiltration,UnoccupiedHVACAvail,UnoccupiedHtgSetpt,UnoccupiedClgSetpt,UnoccupiedElevator,UnoccupiedEscalator,UnoccupiedWtrHtrSetpt,98,; 
,Videoconferencing Studio,10,0.5,250,200,1.5,0.18,1.2,0.15,0.15,150,150,0,0,300,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,153,; 
,Waiting Area,66.67,0.5,250,250,0.5,0.18,1.1,0.15,0.5,150,150,0,0,300,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,154,; 
,All Others (including unleased tenant space in multi-tenant facilities),10,0.5,250,200,1,0.18,0.6,0.15,0.15,150,150,0,0,100,300,1.5,2,Office,OfficeOccupancy,OfficeReceptacle,OfficeServiceHotWater,OfficeLights,OfficeGasEquip,OfficeRefrigeration,OfficeInfiltration,OfficeHVACAvail,OfficeHtgSetpt,OfficeClgSetpt,OfficeElevator,OfficeEscalator,OfficeWtrHtrSetpt,157,; 
ENDTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
