TABLE OffSmlCECStd16020012STrmlUnit,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,
;,,,,,(cfm),(cfm),( cfm),,,,,
CoreZn TU,BaseUnctrl TrmlUnit,Uncontrolled,BaseAirSys3,Core_ZN Thermal Zone,1159.389,-99996,-99996,,,,,
Perim1 TU,BaseUnctrl TrmlUnit-2,Uncontrolled,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,1122.081,-99996,-99996,,,,,
Perim2 TU,BaseUnctrl TrmlUnit-3,Uncontrolled,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,663.548,-99996,-99996,,,,,
Perim3 TU,BaseUnctrl TrmlUnit-4,Uncontrolled,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,936.76,-99996,-99996,,,,,
Perim4 TU,BaseUnctrl TrmlUnit-5,Uncontrolled,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,756.651,-99996,-99996,,,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd16020012SCoilClg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnCoolingCoil,BaseSys3 CoilClg,DirectExpansion,BaseAirSys3,Core_ZN Thermal Zone,32230.732,33626.664,-99996,13,10.845,1,,
Perim1ZnCoolingCoil,BaseSys3 CoilClg-2,DirectExpansion,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,31193.59,32544.604,-99996,13,10.845,1,,
Perim2ZnCoolingCoil,BaseSys3 CoilClg-3,DirectExpansion,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,19055.959,19881.283,-99996,13,10.845,1,,
Perim3ZnCoolingCoil,BaseSys3 CoilClg-4,DirectExpansion,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,31587.801,32955.887,-99996,13,10.845,1,,
Perim4ZnCoolingCoil,BaseSys3 CoilClg-5,DirectExpansion,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,23099.975,24100.449,-99996,13,10.845,1,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd16020012SCoilHtg,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,,,
;,,,,,(Btu/hr),(Btu/hr),( gpm),,,,,
CoreZnHeatingCoil,BaseSys3 CoilHtg,Furnace,BaseAirSys3,Core_ZN Thermal Zone,47296.516,47296.516,0,0.78,0.8,,,
Perim1ZnHeatingCoil,BaseSys3 CoilHtg-2,Furnace,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,43451.738,43451.738,0,0.78,0.8,,,
Perim2ZnHeatingCoil,BaseSys3 CoilHtg-3,Furnace,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,25713.727,25713.727,0,0.78,0.8,,,
Perim3ZnHeatingCoil,BaseSys3 CoilHtg-4,Furnace,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,37781.039,37781.039,0,0.78,0.8,,,
Perim4ZnHeatingCoil,BaseSys3 CoilHtg-5,Furnace,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,28547.713,28547.713,0,0.78,0.8,,,
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd16020012SFan,,,,,,,,,,,,
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),( hp),,
CoreZnSupplyFan,BaseSys3 Fan,ConstantVolume,BaseAirSys3,Core_ZN Thermal Zone,1159.389,-99996,0.5,StaticPressure,2.5,1,InAirStream,0.855
Perim1ZnSupplyFan,BaseSys3 Fan-2,ConstantVolume,BaseAirSys3-2,Perimeter_ZN_1 Thermal Zone,1122.081,-99996,0.5,StaticPressure,2.5,1,InAirStream,0.855
Perim2ZnSupplyFan,BaseSys3 Fan-3,ConstantVolume,BaseAirSys3-3,Perimeter_ZN_2 Thermal Zone,663.548,-99996,0.5,StaticPressure,2.5,0.75,InAirStream,0.855
Perim3ZnSupplyFan,BaseSys3 Fan-4,ConstantVolume,BaseAirSys3-4,Perimeter_ZN_3 Thermal Zone,936.76,-99996,0.5,StaticPressure,2.5,0.75,InAirStream,0.855
Perim4ZnSupplyFan,BaseSys3 Fan-5,ConstantVolume,BaseAirSys3-5,Perimeter_ZN_4 Thermal Zone,756.651,-99996,0.5,StaticPressure,2.5,0.75,InAirStream,0.855
ENDTABLE,,,,,,,,,,,,
TABLE OffSmlCECStd16020012SOACtrl,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,
;,,,,,,,,,,,,
CoreZnOAControl,BaseSys3 OACtrl,NoEconomizer,BaseAirSys3,UNDEFINED,,,,,,,,
Perime1OAControl,BaseSys3 OACtrl-2,NoEconomizer,BaseAirSys3-2,UNDEFINED,,,,,,,,
Perim2OAControl,BaseSys3 OACtrl-3,NoEconomizer,BaseAirSys3-3,UNDEFINED,,,,,,,,
Perim3 OAControl,BaseSys3 OACtrl-4,NoEconomizer,BaseAirSys3-4,UNDEFINED,,,,,,,,
Perim4 OAControl,BaseSys3 OACtrl-5,NoEconomizer,BaseAirSys3-5,UNDEFINED,,,,,,,,
ENDTABLE,,,,,,,,,,,,
