;,CEC Title-24 Residential Compliance Ruleset,,,,,,,,,,,,,,,,,,,,,,
;,Cooling Equipment Look-up Table,,,,,,,,,,,,,,,,,,,,,,
;,Last modified:,,,1/7/16 - SAC,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Source Data:,,,,,,,,,,,,,,,,,,,,,,
;,,,1,"Federal Register / Vol. 76, No. 123 / Monday, June 27, 2011 / Proposed Rules",,,,,,,,,,,,,,,,,,,
;,,,,,DEPARTMENT OF ENERGY / 10 CFR Part 430 / [Docket Number EERE–2011–BT–STD– 0011] / RIN 1904–AC06,,,,,,,,,,,,,,,,,,
;,,,,,Energy Conservation Program: Energy Conservation Standards for Residential Furnaces and Residential Central Air Conditioners and Heat Pumps,,,,,,,,,,,,,,,,,,
;,,,,,"NAECA_Standards_-_Fed_Reg_June_27,_2011.pdf",,,,,,,,,,,,,,,,,,
;,,,2,<add next data source here>,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Other cell color coding:,,,,,,,,,,,,,,,,,,,,,,
;,,,0,no performance standard/efficiency defined,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Mod history:,,,1/9/2013 - SAC - created initial table,,,,,,,,,,,,,,,,,,,
;,,,,1/10/13 - BAW - efficiency & compatible system table revisions + addition of 2015 standard version,,,,,,,,,,,,,,,,,,,
;,,,,"1/10/13 - SAC - reformat table to new syntax, combine standard versions into single table and add SysAvail & IsHP flags",,,,,,,,,,,,,,,,,,,
;,,,,"5/20/13 - BAW -added ductless systems, Standard Design column",,,,,,,,,,,,,,,,,,,
;,,,,8/6/13 - SAC - added Show Multi-Speed Compressor column,,,,,,,,,,,,,,,,Compliance 2014,,,
;,,,,9/3/2013 - MJB turned on more SysAvail options,,,,,,,,,,,,,,,,Need Std Design system col (especially for no cooling),,,
;,,,,12/6/2013 - SAC - added SEERValid & EERValid columns,,,,,,,,,,,,,,,,,,,
;,,,,12/9/13 - specification of standard systems for Evap systems,,,,,,,,,,,,,,,,,,,
;,,,,4/22/14 - SAC - added PropEqStd column and also the new AirToWaterHeatPump & GroundSourceHeatPump equipment types,,,,,,,,,,,,,,,,,,,
;,,,,7/28/14 - MJB - added EvapCondenser option ,,,,,,,,,,,,,,,,,,,
;,,,,1/26/15 - MJB added rows for other Standards - e.g. 2008 Title-24 and 2006 IECC,,,,,,,,,,,,,,,,,,,
;,,,,"1/7/16 - SAC - added rows for new SDHVSplitAirCond & SDHVSplitHeatPump (small duct, high velocity) systems",,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Independents:,,,,,,,,,,,,,,,,,,,,,,
;,,,1,CodeBase - Standard or Code that should be used in the Std Design baseline,,,,,,,,,,,,,,,,,,,
;,,,2,StdVer - Standards Version: ,,2014,Compliance 2014:  valid through December 2014 (with current Federal Air Conditioning efficiency requirements,,,,,,,,,,,,,,,,
;,,,,,,2015,Compliance 2015:  any time (with 2015 Federal Air Conditioning Requirements)  and solar credit,,,,,,,,,,,,,,,,
;,,,3,SysType - Cooling System Type,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,Dependents:,,,,,,,,,,,,,,,,,,,,,,
;,,,1,SEER - Cooling Efficiency,,,,,,,,,,,,,,,,,,,
;,,,2,EER - Cooling Efficiency,,,,,,,,,,,,,,,,,,,
;,,,3,COP95 - Gas Cooling Efficiency (rated COP for the gas portion),,,,,,,,,,,,,,,,,,,
;,,,4,PPC - Gas Cooling parasitic electric energy at rated conditions (in Watts),,,,,,,,,,,,,,,,,,,
;,,,5,SysAvail - (0/1) flag whether or not the system type is currently implemented in the compliance software,,,,,,,,,,,,,,,,,,,
;,,,6,DuctFlag - 1 => requires ducts / 0 => ductless / -1 => may use ducts,,,,,,,,,,,,,,,,,,,
;,,,7,IsHP - (0/1) flag indicating whether or not this system type is modeled as a heat pump,,,,,,,,,,,,,,,,,,,
;,,,8,Whether or not (1/0) multi-speed compressor is an option,,,,,,,,,,,,,,,,,,,
;,,,9,PropEqStd - flag indicating that the proposed design system is to be setup/modeled the same as its corresponding standard design system,,,,,,,,,,,,,,,,,,,
;,,,10,StdSystem - system type used to model the standard design,,,,,,,,,,,,,,,,,,,
;,,,11,SEERValid - (0/1) flag indicating whether or not the SEER data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,
;,,,12,EERValid - (0/1) flag indicating whether or not the EER data is valid for the corresponding system type,,,,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
;,,,,,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,
;,,,,,,,,(W),,,,,,,,,,,,,,,
,TABLE CA13CoolingEquipment,,,,,,,,,,,,,,,,,,,,,,
,,CodeBase,StdVer,SysType,SEER,EER,COP95,PPC,SysAvail,DuctFlag,IsHP,ShowMultSpd,PropEqStd,StdSystem,SEERValid,EERValid,,,,,,,
,,2013,2014,NoCooling        ,Warning1,Warning2,Warning3,Warning4,1,-1,0,0,0,SplitAirCond     ,0,0,;,NoCooling - No cooling equipment                                    ,,,,,
,,2013,2014,SplitAirCond     ,13,11.3,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,SplitAirCond - Split air conditioning system                        ,,,,,
,,2013,2014,PkgAirCond       ,13,11.3,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,PkgAirCond - Central packaged A/C system (< 65 kBtuh)               ,,,,,
,,2013,2014,LrgPkgAirCond    ,13,11.3,Warning3,Warning4,0,1,0,1,0,SplitAirCond     ,1,1,;,LrgPkgAirCond - Large packaged A/C system (>= 65 kBtuh)             ,,,,,
,,2013,2014,SDHVSplitAirCond,12,10,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,"SDHVSplitAirCond - Small duct, high velocity, split A/C system                        ",,SAC 1/7/16 - added,,,
,,2013,2014,DuctlessMiniSplitAirCond,13,11.3,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,1,;,DuctlessMiniSplitAirCond – Ductless mini-split A/C system,,DR 8/29/16 - revised,,,
,,2013,2014,DuctlessMultiSplitAirCond,13,11.3,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,1,;,DuctlessMultiSplitAirCond - Ductless multi-split A/C system,,DR 8/29/16 - added,,,
,,2013,2014,DuctlessVRFAirCond,13,11.3,Warning3,Warning4,1,-1,0,1,1,SplitAirCond     ,1,1,;,DuctlessVRFAirCond - Ductless variable refrigerant flow (VRF) A/C system,,DR 8/29/16 - added,,,
,,2013,2014,RoomAirCond      ,Warning1,8.5,Warning3,Warning4,1,0,0,0,1,SplitAirCond     ,0,1,;,RoomAirCond - Non-central room A/C system                           ,,,,,
,,2013,2014,SplitHeatPump    ,13,11.3,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,1,;,SplitHeatPump - Split heat pump system                              ,,,,,
,,2013,2014,PkgHeatPump      ,13,Warning2,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,;,PkgHeatPump - Central single-packaged heat pump system (< 65 kBtuh) ,,,,,
,,2013,2014,LrgPkgHeatPump   ,Warning1,0,Warning3,Warning4,0,1,1,1,0,SplitHeatPump    ,0,0,;,LrgPkgHeatPump - Large packaged heat pump system (>= 65 kBtuh)      ,,,,,
;,,2013,2014,GasCooling       ,Warning1,Warning2,0,0,0,1,0,1,0,N/A,0,0,;,GasCooling - Gas absorption cooling                                 ,,SAC 4/20/14 - removed from selectable options,,,
,,2013,2014,SDHVSplitHeatPump,12,10,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump                              ",,SAC 1/7/16 - added,,,
,,2013,2014,DuctlessMiniSplitHeatPump,13,11.3,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised,,,
,,2013,2014,DuctlessMultiSplitHeatPump,13,11.3,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,DR 8/29/16 - added,,,
,,2013,2014,DuctlessVRFHeatPump,13,11.3,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,1,1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,DR 8/29/16 - added,,,
,,2013,2014,RoomHeatPump     ,12,10,Warning3,Warning4,1,0,1,0,1,SplitHeatPump    ,1,1,;,RoomHeatPump - Room (non-central) heat pump system                  ,,,,,
,,2013,2014,AirToWaterHeatPump,Warning1,11.3,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,1,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,,,,
,,2013,2014,GroundSourceHeatPump,Warning1,11.3,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,1,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,,,,
,,2013,2014,EvapDirect       ,0,Warning2,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,;,EvapDirect - Direct evaporative cooling system                      ,,,,,
,,2013,2014,EvapIndirDirect  ,Warning1,13,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,1,;,EvapIndirDirect - Indirect-direct evaporative cooling system        ,,,,,Special modelling
,,2013,2014,EvapIndirect     ,Warning1,13,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,1,;,EvapIndirect - Indirect evaporative cooling system                  ,,,,,Special modelling
,,2013,2014,EvapCondenser    ,16,14,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,0,1,;,EvapCondenser - Evaporatively-cooled condenser for split AC systems,,MJB 7/28/14 - added option,,,
;,,2013,2014,Evap/CC          ,Warning1,0,Warning3,Warning4,0,1,0,1,0,N/A,0,0,;,Evap/CC - Evaporatively-cooled condensers                           ,,SAC 4/20/14 - removed from selectable options,,,
;,,2013,2014,IceSAC           ,0,0,Warning3,Warning4,0,1,0,1,0,N/A,0,0,;,IceSAC - Ice storage air conditioning system                        ,,SAC 4/20/14 - removed from selectable options,,,
;,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2015,NoCooling        ,Warning1,Warning2,Warning3,Warning4,1,-1,0,0,0,SplitAirCond     ,0,0,;,NoCooling - No cooling equipment                                    ,,,,,
,,2013,2015,SplitAirCond     ,14,11.7,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,SplitAirCond - Split air conditioning system                        ,,,,,
,,2013,2015,PkgAirCond       ,14,11,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,PkgAirCond - Central packaged A/C system (< 65 kBtuh)               ,,,,,
,,2013,2015,LrgPkgAirCond    ,13,0,Warning3,Warning4,0,1,0,1,0,SplitAirCond     ,1,0,;,LrgPkgAirCond - Large packaged A/C system (>= 65 kBtuh)             ,,,,,
,,2013,2015,SDHVSplitAirCond,12,10,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,"SDHVSplitAirCond - Small duct, high velocity, split A/C system                        ",,,,,
,,2013,2015,DuctlessMiniSplitAirCond,14,11.7,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,1,;,DuctlessMiniSplitAirCond – Ductless mini-split A/C system,,,,,
,,2013,2015,DuctlessMultiSplitAirCond,13,11.3,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,1,;,DuctlessMultiSplitAirCond - Ductless multi-split A/C system,,,,,
,,2013,2015,DuctlessVRFAirCond,13,11.3,Warning3,Warning4,1,-1,0,1,1,SplitAirCond     ,1,1,;,DuctlessVRFAirCond - Ductless variable refrigerant flow (VRF) A/C system,,,,,
,,2013,2015,RoomAirCond      ,Warning1,8.5,Warning3,Warning4,1,0,0,0,1,SplitAirCond     ,0,1,;,RoomAirCond - Non-central room A/C system                           ,,,,,
,,2013,2015,SplitHeatPump    ,14,11.7,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,1,;,SplitHeatPump - Split heat pump system                              ,,,,,
,,2013,2015,PkgHeatPump      ,14,11.7,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,1,;,PkgHeatPump - Central single-packaged heat pump system (< 65 kBtuh) ,,,,,
,,2013,2015,LrgPkgHeatPump   ,Warning1,0,Warning3,Warning4,0,1,1,1,0,SplitHeatPump    ,0,0,;,LrgPkgHeatPump - Large packaged heat pump system (>= 65 kBtuh)      ,,,,,
;,,2013,2015,GasCooling       ,Warning1,Warning2,0,0,0,1,0,1,0,N/A,0,0,;,GasCooling - Gas absorption cooling                                 ,,,,,
,,2013,2015,SDHVSplitHeatPump,12,10,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump                              ",,,,,
,,2013,2015,DuctlessMiniSplitHeatPump,14,11.7,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,,,,
,,2013,2015,DuctlessMultiSplitHeatPump,13,11.3,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,1,;,DuctlessMultiSplitHeatPump - Ductless multi-split heat pump system,,,,,
,,2013,2015,DuctlessVRFHeatPump,13,11.3,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,1,1,;,DuctlessVRFHeatPump - Ductless variable refrigerant flow (VRF) heat pump system,,,,,
,,2013,2015,RoomHeatPump     ,12,10,Warning3,Warning4,1,0,1,0,1,SplitHeatPump    ,1,1,;,RoomHeatPump - Room (non-central) heat pump system                  ,,,,,
,,2013,2015,AirToWaterHeatPump,14,11.7,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,1,;,AirToWaterHeatPump - Air to water heat pump (able to heat DHW),,,,,
,,2013,2015,GroundSourceHeatPump,14,11.7,Warning3,Warning4,1,-1,1,1,1,SplitHeatPump    ,0,1,;,GroundSourceHeatPump - Ground source heat pump (able to heat DHW),,,,,
,,2013,2015,EvapDirect       ,0,Warning2,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,0,;,EvapDirect - Direct evaporative cooling system                      ,,,,,
,,2013,2015,EvapIndirDirect  ,Warning1,13,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,1,;,EvapIndirDirect - Indirect-direct evaporative cooling system        ,,,,,
,,2013,2015,EvapIndirect     ,Warning1,13,Warning3,Warning4,0,1,0,0,0,SplitAirCond     ,0,1,;,EvapIndirect - Indirect evaporative cooling system                  ,,,,,
,,2013,2015,EvapCondenser    ,16,14,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,0,1,;,EvapCondenser - Evaporatively-cooled condenser for split AC systems,,,,,
;,,2013,2015,Evap/CC          ,Warning1,0,Warning3,Warning4,0,1,0,1,0,N/A,0,0,;,Evap/CC - Evaporatively-cooled condensers                           ,,,,,
;,,2013,2015,IceSAC           ,0,0,Warning3,Warning4,0,1,0,1,0,N/A,0,0,;,IceSAC - Ice storage air conditioning system                        ,,,,,
;,,,,,,,,,,,,,,,,,,,,,,,
; 2008 Title-24,,,,,,,,,,,,,,,,,,,,,,,
,,2008,2010,NoCooling        ,Warning1,Warning2,Warning3,Warning4,1,-1,0,0,0,SplitAirCond     ,0,0,;,NoCooling - No cooling equipment                                    ,,,,,
,,2008,2010,SplitAirCond     ,13,11.3,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,SplitAirCond - Split air conditioning system                        ,,,,,
,,2008,2010,PkgAirCond       ,13,11.3,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,PkgAirCond - Central packaged A/C system (< 65 kBtuh)               ,,,,,
,,2008,2010,LrgPkgAirCond    ,13,11.3,Warning3,Warning4,0,1,0,1,0,SplitAirCond     ,1,1,;,LrgPkgAirCond - Large packaged A/C system (>= 65 kBtuh)             ,,,,,
,,2008,2010,SDHVSplitAirCond,13,11.3,Warning3,Warning4,1,1,0,1,0,SplitAirCond     ,1,1,;,"SDHVSplitAirCond - Small duct, high velocity, split A/C system                        ",,,,,
,,2008,2010,DuctlessMiniSplitAirCond,13,11.3,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,1,;,DuctlessMiniSplitAirCond – Ductless mini-split A/C system,,DR 8/29/16 - revised,,,
,,2008,2010,DuctlessMultiSplitAirCond,13,11.3,Warning3,Warning4,1,0,0,1,1,SplitAirCond     ,1,1,;,DuctlessMultiSplitAirCond - Ductless multi-split A/C system,,DR 8/29/16 - added,,,
,,2008,2010,DuctlessVRFAirCond,13,11.3,Warning3,Warning4,1,-1,0,1,1,SplitAirCond     ,1,1,;,DuctlessVRFAirCond - Ductless variable refrigerant flow (VRF) A/C system,,DR 8/29/16 - added,,,
,,2008,2010,RoomAirCond      ,Warning1,8.5,Warning3,Warning4,1,0,0,0,1,SplitAirCond     ,0,1,;,RoomAirCond - Non-central room A/C system                           ,,,,,
,,2008,2010,SplitHeatPump    ,13,11.3,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,1,;,SplitHeatPump - Split heat pump system                              ,,,,,
,,2008,2010,PkgHeatPump      ,13,Warning2,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,0,;,PkgHeatPump - Central single-packaged heat pump system (< 65 kBtuh) ,,,,,
,,2008,2010,LrgPkgHeatPump   ,Warning1,0,Warning3,Warning4,0,1,1,1,0,SplitHeatPump    ,0,0,;,LrgPkgHeatPump - Large packaged heat pump system (>= 65 kBtuh)      ,,,,,
;,,2008,2010,GasCooling       ,Warning1,Warning2,0,0,0,1,0,1,0,N/A,0,0,;,GasCooling - Gas absorption cooling                                 ,,SAC 4/20/14 - removed from selectable options,,,
,,2008,2010,SDHVSplitHeatPump,13,11.3,Warning3,Warning4,1,1,1,1,0,SplitHeatPump    ,1,1,;,"SDHVSplitHeatPump - Small duct, high velocity, central split heat pump                              ",,,,,
,,2008,2010,DuctlessMiniSplitHeatPump,13,11.3,Warning3,Warning4,1,0,1,1,1,SplitHeatPump    ,1,1,;,DuctlessMiniSplitHeatPump – Ductless mini-split heat pump system,,DR 8/29/16 - revised,,,
